Company Name,Location,Internship Role,Stipend (INR),Duration
L&T Technology Services,Coimbatore,AI Research Intern,15000,2 Months
HP,Pondicherry,Cybersecurity Intern,12000,4 Months
HP,Coimbatore,Web Developer Intern,10000,3 Months
Accenture,Coimbatore,Network Engineer Intern,15000,4 Months
HCLTech,Coimbatore,Machine Learning Intern,25000,2 Months
Wipro,Chennai,Embedded Systems Intern,20000,4 Months
Nokia,Bangalore,Cybersecurity Intern,20000,4 Months
Siemens,Bangalore,Embedded Systems Intern,5000,2 Months
TCS,Chennai,Cloud Computing Intern,12000,2 Months
Google,Pondicherry,Electronics Design Intern,7000,1 Month
Amazon,Pondicherry,Network Engineer Intern,20000,6 Months
Infosys,Pondicherry,Embedded Systems Intern,20000,2 Months
Mindtree,Chennai,Data Analyst Intern,7000,2 Months
Freshworks,Bangalore,Web Developer Intern,5000,2 Months
Zoho,Coimbatore,Machine Learning Intern,15000,3 Months
Bosch,Coimbatore,Data Analyst Intern,20000,3 Months
HP,Bangalore,Software Developer Intern,25000,4 Months
Qualcomm,Bangalore,Network Engineer Intern,12000,3 Months
Intel,Bangalore,Cloud Computing Intern,12000,3 Months
Intel,Bangalore,Electronics Design Intern,12000,4 Months
SAP,Pondicherry,Electronics Design Intern,25000,1 Month
Cisco,Bangalore,AI Research Intern,15000,3 Months
Infosys,Coimbatore,Cloud Computing Intern,8000,4 Months
HP,Bangalore,Cloud Computing Intern,12000,3 Months
EY,Chennai,Electronics Design Intern,7000,2 Months
Zoho,Bangalore,Network Engineer Intern,20000,6 Months
Cognizant,Chennai,Data Analyst Intern,15000,3 Months
Nokia,Chennai,AI Research Intern,25000,1 Month
Infosys,Pondicherry,Web Developer Intern,5000,2 Months
Cognizant,Chennai,Machine Learning Intern,7000,1 Month
Deloitte,Chennai,Software Developer Intern,12000,3 Months
HCLTech,Pondicherry,Database Intern,7000,1 Month
Tech Mahindra,Chennai,Data Analyst Intern,8000,1 Month
Wipro,Coimbatore,Software Developer Intern,5000,1 Month
Deloitte,Pondicherry,Cybersecurity Intern,20000,4 Months
Dell,Pondicherry,Network Engineer Intern,15000,4 Months
Zoho,Bangalore,AI Research Intern,25000,2 Months
HP,Coimbatore,Web Developer Intern,10000,1 Month
KPMG,Chennai,Database Intern,7000,3 Months
HP,Pondicherry,Machine Learning Intern,20000,3 Months
Nokia,Chennai,Cybersecurity Intern,25000,6 Months
Tech Mahindra,Chennai,Web Developer Intern,25000,6 Months
PayPal,Bangalore,Database Intern,20000,1 Month
IBM,Coimbatore,Embedded Systems Intern,5000,1 Month
IBM,Chennai,Data Analyst Intern,12000,4 Months
L&T Technology Services,Bangalore,Electronics Design Intern,10000,3 Months
HCLTech,Bangalore,AI Research Intern,10000,4 Months
Intel,Coimbatore,Machine Learning Intern,20000,1 Month
Microsoft,Coimbatore,Cybersecurity Intern,12000,3 Months
SAP,Pondicherry,Database Intern,20000,4 Months
SAP,Pondicherry,DevOps Intern,20000,1 Month
PayPal,Bangalore,Cloud Computing Intern,7000,2 Months
Infosys,Chennai,Cybersecurity Intern,5000,3 Months
KPMG,Chennai,Data Analyst Intern,7000,6 Months
Tech Mahindra,Pondicherry,Data Analyst Intern,5000,2 Months
Accenture,Coimbatore,Database Intern,5000,3 Months
Cisco,Pondicherry,Network Engineer Intern,15000,4 Months
Intel,Bangalore,DevOps Intern,10000,1 Month
Freshworks,Chennai,Embedded Systems Intern,25000,6 Months
TCS,Pondicherry,Database Intern,10000,3 Months
Zoho,Chennai,Software Developer Intern,15000,4 Months
KPMG,Pondicherry,Cloud Computing Intern,10000,2 Months
Accenture,Bangalore,Electronics Design Intern,25000,2 Months
IBM,Coimbatore,Electronics Design Intern,8000,1 Month
Bosch,Bangalore,Cybersecurity Intern,5000,3 Months
Cognizant,Chennai,Machine Learning Intern,15000,4 Months
Capgemini,Bangalore,Machine Learning Intern,7000,4 Months
Google,Bangalore,Cloud Computing Intern,5000,4 Months
Qualcomm,Chennai,Software Developer Intern,15000,3 Months
Bosch,Pondicherry,Database Intern,8000,4 Months
HP,Bangalore,DevOps Intern,5000,1 Month
IBM,Coimbatore,Embedded Systems Intern,5000,3 Months
Capgemini,Chennai,Electronics Design Intern,20000,1 Month
Cognizant,Bangalore,Cybersecurity Intern,15000,1 Month
Cognizant,Coimbatore,Network Engineer Intern,10000,3 Months
Microsoft,Coimbatore,Embedded Systems Intern,15000,3 Months
IBM,Coimbatore,DevOps Intern,8000,1 Month
Mindtree,Bangalore,AI Research Intern,12000,2 Months
KPMG,Coimbatore,Cybersecurity Intern,20000,4 Months
Mindtree,Chennai,AI Research Intern,15000,1 Month
PayPal,Coimbatore,Web Developer Intern,25000,1 Month
Freshworks,Bangalore,Data Analyst Intern,7000,3 Months
Nokia,Chennai,Database Intern,12000,2 Months
KPMG,Chennai,Embedded Systems Intern,10000,1 Month
HCLTech,Bangalore,Electronics Design Intern,25000,3 Months
HCLTech,Coimbatore,Electronics Design Intern,15000,1 Month
Cognizant,Coimbatore,Cloud Computing Intern,12000,2 Months
Freshworks,Bangalore,Network Engineer Intern,15000,3 Months
PayPal,Coimbatore,Cloud Computing Intern,15000,2 Months
Intel,Chennai,Web Developer Intern,12000,4 Months
Microsoft,Chennai,Embedded Systems Intern,7000,2 Months
Dell,Coimbatore,Cybersecurity Intern,12000,2 Months
PayPal,Bangalore,Data Analyst Intern,10000,6 Months
Bosch,Bangalore,Cloud Computing Intern,25000,2 Months
Dell,Coimbatore,Network Engineer Intern,8000,4 Months
Intel,Bangalore,Cloud Computing Intern,12000,4 Months
Dell,Chennai,Machine Learning Intern,7000,1 Month
Intel,Pondicherry,Software Developer Intern,7000,6 Months
Cisco,Coimbatore,Cybersecurity Intern,25000,1 Month
EY,Coimbatore,Web Developer Intern,8000,4 Months
HCLTech,Bangalore,AI Research Intern,8000,4 Months
Wipro,Bangalore,Database Intern,12000,2 Months
EY,Coimbatore,Software Developer Intern,20000,2 Months
IBM,Bangalore,Network Engineer Intern,10000,3 Months
Freshworks,Bangalore,Software Developer Intern,12000,3 Months
Qualcomm,Bangalore,Network Engineer Intern,25000,4 Months
Oracle,Coimbatore,DevOps Intern,5000,3 Months
Zoho,Coimbatore,Cloud Computing Intern,12000,4 Months
Tech Mahindra,Pondicherry,Web Developer Intern,7000,2 Months
Wipro,Coimbatore,AI Research Intern,12000,2 Months
Capgemini,Coimbatore,Electronics Design Intern,20000,1 Month
Google,Chennai,Data Analyst Intern,25000,2 Months
Nokia,Chennai,Database Intern,12000,1 Month
Capgemini,Coimbatore,Electronics Design Intern,8000,1 Month
Deloitte,Pondicherry,Embedded Systems Intern,20000,4 Months
PayPal,Pondicherry,Database Intern,8000,3 Months
Freshworks,Chennai,Cybersecurity Intern,5000,3 Months
KPMG,Pondicherry,Data Analyst Intern,20000,3 Months
Cisco,Chennai,Web Developer Intern,20000,6 Months
TCS,Coimbatore,Cloud Computing Intern,5000,3 Months
KPMG,Bangalore,Cybersecurity Intern,15000,2 Months
Wipro,Chennai,Cloud Computing Intern,10000,1 Month
Zoho,Bangalore,Cybersecurity Intern,5000,3 Months
PayPal,Pondicherry,Embedded Systems Intern,10000,6 Months
Cisco,Coimbatore,DevOps Intern,10000,4 Months
HCLTech,Chennai,Network Engineer Intern,8000,2 Months
IBM,Pondicherry,Database Intern,8000,4 Months
Cisco,Bangalore,DevOps Intern,8000,2 Months
Tech Mahindra,Chennai,Cybersecurity Intern,7000,1 Month
Capgemini,Bangalore,Network Engineer Intern,8000,2 Months
HP,Chennai,Database Intern,5000,4 Months
IBM,Chennai,Web Developer Intern,7000,6 Months
SAP,Chennai,Electronics Design Intern,20000,2 Months
Cognizant,Pondicherry,Cloud Computing Intern,7000,1 Month
Qualcomm,Pondicherry,DevOps Intern,7000,1 Month
Intel,Pondicherry,Software Developer Intern,25000,6 Months
IBM,Chennai,Network Engineer Intern,20000,2 Months
Intel,Pondicherry,Machine Learning Intern,12000,4 Months
Dell,Pondicherry,Machine Learning Intern,15000,6 Months
L&T Technology Services,Bangalore,Cloud Computing Intern,5000,6 Months
Freshworks,Coimbatore,Data Analyst Intern,8000,6 Months
Intel,Bangalore,Software Developer Intern,7000,6 Months
Zoho,Pondicherry,Cybersecurity Intern,12000,2 Months
Tech Mahindra,Coimbatore,Network Engineer Intern,10000,4 Months
Intel,Pondicherry,DevOps Intern,8000,2 Months
EY,Bangalore,DevOps Intern,7000,1 Month
KPMG,Bangalore,Cybersecurity Intern,25000,3 Months
Amazon,Bangalore,Database Intern,10000,3 Months
Deloitte,Chennai,Network Engineer Intern,8000,6 Months
Dell,Coimbatore,Machine Learning Intern,25000,3 Months
Qualcomm,Pondicherry,Embedded Systems Intern,20000,3 Months
Oracle,Chennai,Machine Learning Intern,25000,1 Month
KPMG,Pondicherry,Cloud Computing Intern,10000,3 Months
TCS,Pondicherry,Electronics Design Intern,8000,1 Month
Qualcomm,Chennai,Cybersecurity Intern,12000,6 Months
Oracle,Chennai,Machine Learning Intern,12000,6 Months
Infosys,Pondicherry,Cloud Computing Intern,20000,3 Months
Bosch,Chennai,Embedded Systems Intern,8000,6 Months
Qualcomm,Pondicherry,AI Research Intern,8000,1 Month
Nokia,Coimbatore,Network Engineer Intern,15000,6 Months
Freshworks,Pondicherry,Web Developer Intern,15000,6 Months
Google,Pondicherry,Cybersecurity Intern,5000,2 Months
Dell,Coimbatore,Cloud Computing Intern,15000,6 Months
Accenture,Coimbatore,Network Engineer Intern,15000,2 Months
Microsoft,Pondicherry,Cloud Computing Intern,5000,3 Months
KPMG,Bangalore,Machine Learning Intern,7000,3 Months
L&T Technology Services,Chennai,Electronics Design Intern,5000,4 Months
IBM,Bangalore,Web Developer Intern,7000,1 Month
HCLTech,Bangalore,Cloud Computing Intern,25000,4 Months
Qualcomm,Bangalore,Electronics Design Intern,15000,3 Months
Deloitte,Chennai,Electronics Design Intern,15000,6 Months
EY,Coimbatore,Machine Learning Intern,7000,6 Months
Intel,Chennai,Cybersecurity Intern,25000,4 Months
KPMG,Chennai,AI Research Intern,10000,6 Months
Nokia,Chennai,Cloud Computing Intern,15000,6 Months
Freshworks,Bangalore,Electronics Design Intern,5000,4 Months
L&T Technology Services,Coimbatore,DevOps Intern,25000,1 Month
Microsoft,Pondicherry,Cybersecurity Intern,20000,2 Months
Qualcomm,Pondicherry,Software Developer Intern,8000,4 Months
Capgemini,Bangalore,Electronics Design Intern,5000,3 Months
Cognizant,Pondicherry,Electronics Design Intern,25000,1 Month
Wipro,Coimbatore,AI Research Intern,5000,4 Months
EY,Coimbatore,Web Developer Intern,8000,2 Months
Cisco,Pondicherry,DevOps Intern,5000,1 Month
Google,Pondicherry,Cybersecurity Intern,20000,4 Months
Siemens,Bangalore,DevOps Intern,12000,2 Months
L&T Technology Services,Chennai,Network Engineer Intern,7000,1 Month
Accenture,Pondicherry,Data Analyst Intern,20000,6 Months
Tech Mahindra,Bangalore,Web Developer Intern,10000,4 Months
Nokia,Pondicherry,Data Analyst Intern,25000,2 Months
SAP,Coimbatore,Cloud Computing Intern,12000,6 Months
Qualcomm,Coimbatore,DevOps Intern,25000,6 Months
Nokia,Pondicherry,Machine Learning Intern,12000,3 Months
Tech Mahindra,Coimbatore,Cloud Computing Intern,15000,3 Months
Wipro,Coimbatore,DevOps Intern,10000,6 Months
Nokia,Bangalore,Web Developer Intern,20000,3 Months
EY,Chennai,Network Engineer Intern,25000,4 Months
Zoho,Chennai,Data Analyst Intern,8000,1 Month
Amazon,Chennai,Machine Learning Intern,20000,6 Months
Bosch,Pondicherry,Data Analyst Intern,12000,4 Months
Oracle,Coimbatore,AI Research Intern,20000,2 Months
SAP,Pondicherry,Web Developer Intern,25000,6 Months
Qualcomm,Chennai,Network Engineer Intern,10000,1 Month
Cognizant,Coimbatore,Network Engineer Intern,25000,1 Month
Capgemini,Coimbatore,AI Research Intern,15000,4 Months
HCLTech,Pondicherry,Software Developer Intern,7000,1 Month
Capgemini,Chennai,Cybersecurity Intern,15000,1 Month
Accenture,Bangalore,Machine Learning Intern,5000,3 Months
EY,Coimbatore,Electronics Design Intern,15000,2 Months
HP,Bangalore,Database Intern,12000,2 Months
Qualcomm,Bangalore,DevOps Intern,10000,4 Months
HP,Coimbatore,DevOps Intern,8000,3 Months
SAP,Pondicherry,Web Developer Intern,20000,2 Months
EY,Coimbatore,Electronics Design Intern,15000,2 Months
HCLTech,Bangalore,Embedded Systems Intern,8000,4 Months
Tech Mahindra,Coimbatore,Software Developer Intern,12000,4 Months
Google,Coimbatore,Machine Learning Intern,25000,4 Months
Oracle,Coimbatore,Software Developer Intern,7000,3 Months
Deloitte,Pondicherry,Cloud Computing Intern,12000,4 Months
Capgemini,Chennai,Database Intern,8000,6 Months
TCS,Pondicherry,Data Analyst Intern,20000,6 Months
Accenture,Coimbatore,Cybersecurity Intern,8000,1 Month
Cisco,Pondicherry,DevOps Intern,5000,4 Months
PayPal,Pondicherry,Network Engineer Intern,10000,2 Months
Zoho,Chennai,Cybersecurity Intern,10000,1 Month
Capgemini,Pondicherry,Network Engineer Intern,8000,6 Months
Qualcomm,Bangalore,Network Engineer Intern,8000,1 Month
Zoho,Bangalore,Electronics Design Intern,15000,2 Months
KPMG,Pondicherry,Embedded Systems Intern,15000,3 Months
Amazon,Coimbatore,Cybersecurity Intern,12000,2 Months
Intel,Bangalore,Database Intern,25000,6 Months
HCLTech,Chennai,Electronics Design Intern,10000,4 Months
Freshworks,Chennai,Cybersecurity Intern,15000,1 Month
IBM,Pondicherry,Cybersecurity Intern,25000,2 Months
Google,Bangalore,Data Analyst Intern,12000,1 Month
Intel,Chennai,Cloud Computing Intern,10000,1 Month
PayPal,Pondicherry,Electronics Design Intern,8000,3 Months
Zoho,Chennai,Cybersecurity Intern,15000,4 Months
Zoho,Chennai,Cloud Computing Intern,8000,6 Months
PayPal,Coimbatore,Software Developer Intern,25000,2 Months
Qualcomm,Bangalore,AI Research Intern,5000,2 Months
Intel,Chennai,Web Developer Intern,15000,3 Months
Accenture,Pondicherry,Web Developer Intern,25000,1 Month
Dell,Chennai,Web Developer Intern,12000,6 Months
Bosch,Bangalore,DevOps Intern,25000,6 Months
Capgemini,Chennai,AI Research Intern,20000,2 Months
Accenture,Coimbatore,Data Analyst Intern,8000,4 Months
Nokia,Chennai,DevOps Intern,5000,1 Month
Tech Mahindra,Chennai,Data Analyst Intern,10000,2 Months
Cognizant,Chennai,Cloud Computing Intern,15000,6 Months
